Student,stream_normalised,performance_als_normalised,Gender,age_normalised,Course
92,0.75,0.4583,1,0.4286,4
93,0.5,0.5417,1,0.2857,5
170,1.0,0.75,1,0.1429,4
108,1.0,0.375,1,0.2857,2
51,0.25,0.75,0,0.7857,1
111,1.0,0.4583,1,0.4286,4
7,0.5,0.6667,0,0.5,2
91,0.5,0.5417,1,0.0,2
64,0.75,0.4583,1,0.5,4
147,0.25,0.75,1,0.4286,1
134,1.0,0.4167,0,0.2857,2
59,0.75,0.75,1,0.3571,1
117,0.25,0.4583,1,0.4286,5
112,0.5,0.4583,1,0.2143,3
19,0.25,0.75,1,0.5,1
156,1.0,0.375,0,0.3571,4
169,1.0,0.4167,0,0.3571,2
42,0.25,0.4583,1,0.4286,5
142,0.25,0.5417,1,0.2857,5
6,1.0,0.75,0,0.1429,2
100,1.0,0.4583,1,0.6429,3
9,1.0,0.4583,0,0.3571,2
198,0.25,0.4583,0,0.5,1
130,0.5,0.75,1,0.2143,1
178,0.25,0.625,1,0.2143,1
114,0.25,0.8333,1,0.2143,1
150,0.25,0.75,1,0.3571,1
16,1.0,1.0,1,0.5,4
94,0.75,0.6667,1,0.3571,4
188,0.25,0.5,1,0.3571,1
38,1.0,0.25,1,0.2857,2
41,1.0,0.4583,1,0.3571,2
96,1.0,0.75,1,0.0,4
165,0.25,0.4583,0,0.2143,1
60,0.25,0.75,1,0.6429,5
40,1.0,0.75,1,0.4286,4
182,0.25,0.4583,0,0.1429,5
132,0.25,0.5,0,0.3571,5
48,0.5,0.5417,1,0.2143,4
78,0.25,0.6667,0,0.6429,5
2,1.0,0.75,0,0.3571,2
152,0.25,0.625,1,0.4286,1
197,0.25,0.4167,0,0.3571,5
125,0.0,0.75,1,0.2857,3
68,1.0,0.4583,1,0.2857,2
145,0.25,0.625,1,0.3571,3
167,0.25,0.9167,0,0.3571,1
116,1.0,0.4583,1,0.3571,4
58,0.75,0.5417,1,0.2857,2
71,0.5,0.4583,1,0.3571,5
110,0.75,0.6667,1,0.5714,2
69,1.0,0.5417,1,0.2143,4
79,0.25,0.6667,0,0.3571,1
50,0.25,0.9167,0,0.2857,5
133,0.75,0.4583,0,0.2857,3
99,0.75,0.5417,1,0.4286,4
56,0.25,0.4583,0,0.4286,2
159,0.25,0.6667,1,0.2857,5
72,1.0,0.75,0,0.3571,2
115,0.25,0.5417,1,0.4286,3
122,0.25,0.4167,0,0.0714,1
179,1.0,0.4583,1,0.5,2
36,0.5,0.375,1,0.2857,5
15,1.0,0.9167,0,0.2857,2
193,1.0,0.3333,0,0.2857,4
81,1.0,0.375,0,0.2143,4
191,0.25,0.75,1,0.5,1
119,0.0,1.0,1,0.1429,3
192,1.0,0.5,0,0.2143,4
4,1.0,0.75,0,0.6429,2
57,1.0,0.75,1,0.2143,5
124,0.0,1.0,1,0.3571,3
83,0.75,0.5417,0,0.3571,4
136,1.0,0.4583,1,0.5714,3
62,0.5,0.5417,1,0.2857,5
35,0.25,0.75,1,0.4286,3
89,0.25,0.4583,1,0.2143,2
131,0.25,0.625,0,0.2857,1
18,0.25,0.9167,1,0.2143,5
80,1.0,0.25,0,0.4286,4
87,0.75,0.5833,1,0.2143,4
118,0.75,0.6667,1,0.2143,3
113,0.25,0.7083,1,0.1429,3
95,0.25,0.4583,1,0.2143,1
157,0.25,0.625,0,0.4286,5
84,0.75,0.75,0,0.2857,2
34,1.0,0.375,1,0.6429,4
102,0.25,0.5417,1,0.2857,5
176,0.25,0.7917,1,0.2857,5
162,0.25,0.8333,1,0.2857,4
